29.5	45.9	3060	16.6	5.22	62.2
22.1	30.7	28700	0.673	10.3	80.4
23.8	49.2	11200	0.48	5.86	71.3
25.8	36.3	6710	5.14	6.85	71.3
30.3	43.2	1190	16.1	4.93	58
14.9	35.2	1390	2.97	8.5	55.6
51.4	79.1	5840	5.73	5.38	65.5
15.3	64.7	1500	5.45	6.91	32.1
81.8	76.5	22300	2.33	7.33	74.5
53.4	43.3	38800	5.47	9.4	82
22.6	27.1	4410	8.98	4.05	66.2
24.3	22.4	8430	15.3	2.61	69.9
24.4	19.4	17400	15.9	5.6	74.5
39.4	34.1	12700	16.6	8.41	67.2
103	86.5	45700	-3.22	9.19	80.4
35	32.9	29600	1.77	7.63	81.4
25.2	27.2	36200	0.319	9.53	81.7
31.3	49.6	8000	9.81	4.81	74.7
15	13.6	35800	-1.9	9.49	82.8
48.3	69	9470	8.43	8.04	75.8
44.2	29.9	20100	19.5	4.29	68.4
20.7	33.6	2480	2.09	4.75	62.8
13.3	79.9	1730	1.52	11.3	60.7
66.7	30.4	75200	11.2	2.63	78.2
51.6	81.7	2790	10	6.18	68.5
35.4	49.3	3980	9.2	4.47	63.8
53.7	55.1	18300	-0.812	6.68	73.1
35.8	60.2	16300	0.238	7.03	79.8
39.4	101	2380	4.15	11.1	46.5
19.1	92.6	700	5.47	11.8	60.8
65.6	42.1	29600	14.2	3.88	76.1
65.3	67.2	21100	2.38	7.04	73.2
175	142	91700	3.62	7.77	81.3
39.8	58.1	11400	2.04	7.09	74
25	43	1390	8.79	3.77	60.8
22.8	34.9	1030	12.1	6.59	53.1
86.9	71	21100	7.27	4.39	74.5
77.6	65.4	10500	2.88	6.33	77.9
22.8	35.1	1870	4.37	4.98	59.5
153	154	28300	3.83	8.65	80.3
50.7	61.2	3320	18.9	4.41	68.2
51.2	62.2	15900	1.13	6	73.4
23.5	81	3340	3.8	14.2	65.4
39.2	78.5	3910	11.1	11.7	69.7
46.7	56.7	7710	39.2	5.44	66.2
37	62.7	14000	1.6	9.11	76.4
32.2	43	6440	0.976	5.2	73.5
31.5	46.2	918	7.64	5.21	54.5
0.109	0.0659	3720	7.04	1.97	66.8
47.8	60.7	8460	3.56	6.78	58.6
9.58	36.4	1990	15.1	5.25	68.3
72	63.6	45500	0.848	11.9	80.7
30.3	28	32300	3.73	10.1	80.9
22.2	49.1	814	2.55	5.16	58.8
25.3	17.4	5150	104	5.07	60.5
39.7	28.5	62300	5.95	9.48	81
65.7	41.2	45300	15.6	2.77	76.1
13.5	19.4	4280	10.9	2.2	65.3
70	78.2	15400	2.59	8.1	77.8
55.1	51.5	7290	6.1	5.87	74.1
27.8	23.8	9960	5.71	5.08	77.9
34.8	36.6	5600	4.22	3.61	69
40.1	42.1	21800	1.66	7.46	76.3
29.9	37.4	27200	0.643	11	79.8
62.3	23.8	125000	6.98	1.81	79.5
32.6	38.8	17800	3.53	5.58	73.7
29.2	21.1	23100	14.2	5.08	69.2
12	30	1350	2.61	10.5	64.6
29.2	53.1	5400	1.72	6.47	71.5
49.6	33	45400	17.2	4.29	75.1
24.9	40.3	2180	1.85	5.66	64
32.9	47.9	12700	5.88	10.4	74.7
93.8	108	20400	-4.21	3.4	73.4
16.8	34.5	1220	17.2	13.1	55
200	174	72100	-0.046	3.96	82.7
76.3	77.8	25200	0.485	8.79	75.5
64.3	62.9	28700	-0.987	9.41	79.5
49.3	81.2	1780	6.81	8.55	61.7
28.6	27.4	12000	6.35	8.94	54.3
49.4	46.2	30400	3.16	6.93	80.1
25.5	26.8	32500	0.16	9.54	81.9
19.6	26.8	8560	22.8	2.94	74.4
26.9	57.1	9920	4.44	4.47	71.6
19.7	17.2	3370	19.6	6.32	66.3
52.5	38.4	14200	7.2	7.01	70.3
46.2	40.7	42900	0.991	9.63	81.5
64	53.3	55500	0.317	11.5	82.2
14.9	58.6	2110	12.5	5.98	69.6
18.7	29.1	2090	9.25	6.01	59.3
66.5	60.8	13500	4.08	3.88	76.6
2.2	27.8	1850	26.5	9.12	71.1
40.2	57.3	1210	1.18	7.65	58.7
12.4	60.3	4980	3.68	5.07	69.9
50.5	55.3	10400	3.82	6.21	76.9
20.4	25.5	18000	7.01	6.74	78.2
76.3	44.5	9940	2.31	2.5	67.9
17.1	28.6	1540	10.6	9.01	56.8
47.1	51.1	7820	13.4	7.72	70.4
77.7	63.6	57600	12.5	3.66	76.5
28.2	30.8	36200	1.57	9.64	80.3
12.4	15.8	49400	1.22	17.9	78.7
26.3	25.4	17100	4.91	8.35	76.4
31.7	28.5	4240	16.5	5.81	68.8
46.6	52.7	2950	2.62	5.25	63
28.5	17.6	16500	45.9	4.91	75.4
72	80.2	4490	12.1	6.84	73.1
30	34.4	4480	23.6	5.18	67.5
37	30.9	3280	14	5.89	52
